Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,09/04/06,Messina,Treviso,3,1,H,1,1,D,12,2,7,2,18,13,6,2,5,3,0,0
I1,09/04/06,Milan,Chievo,4,1,H,1,1,D,18,9,9,4,12,14,9,3,0,2,0,0
I1,09/04/06,Parma,Reggina,4,0,H,2,0,H,12,14,5,4,22,15,1,7,0,0,1,1
I1,09/04/06,Roma,Lecce,3,1,H,2,0,H,6,12,5,2,24,18,8,4,3,1,0,0
I1,09/04/06,Siena,Lazio,2,3,A,2,2,D,16,12,9,10,22,19,5,4,1,3,0,0
I1,14/04/06,Milan,Inter,1,0,H,0,0,D,8,11,4,5,24,18,3,4,4,4,0,0
I1,15/04/06,Cagliari,Juventus,1,1,D,1,0,H,2,16,1,5,31,30,1,9,4,2,2,0
I1,15/04/06,Chievo,Messina,2,0,H,1,0,H,9,10,3,2,19,25,3,8,3,4,1,0
I1,15/04/06,Empoli,Siena,2,1,H,2,0,H,10,14,4,9,15,19,4,5,2,2,0,0
I1,15/04/06,Lazio,Livorno,3,1,H,1,0,H,4,5,4,3,23,24,2,2,2,3,0,1
I1,15/04/06,Lecce,Udinese,1,2,A,1,1,D,15,10,6,4,19,18,4,6,1,4,0,0
I1,15/04/06,Palermo,Roma,3,3,D,0,3,A,15,10,7,6,21,19,4,1,3,3,0,0
I1,15/04/06,Reggina,Ascoli,2,0,H,2,0,H,5,7,4,0,19,14,7,9,3,1,1,0
I1,15/04/06,Sampdoria,Parma,1,2,A,1,0,H,10,12,3,5,18,22,3,2,0,1,0,0
I1,15/04/06,Treviso,Fiorentina,1,3,A,1,1,D,5,8,1,5,16,16,6,5,1,2,0,0
I1,22/04/06,Ascoli,Cagliari,2,2,D,1,0,H,23,5,7,3,18,14,8,2,4,2,1,2
I1,22/04/06,Fiorentina,Empoli,2,1,H,1,0,H,19,7,11,5,24,23,7,4,1,3,0,0
I1,22/04/06,Inter,Reggina,4,0,H,3,0,H,16,4,13,2,16,13,5,1,0,0,0,0
I1,22/04/06,Juventus,Lazio,1,1,D,0,1,A,24,4,9,3,20,13,15,3,2,3,0,1
I1,22/04/06,Lecce,Treviso,1,1,D,1,0,H,17,18,8,11,18,22,8,4,0,2,1,0
I1,22/04/06,Livorno,Palermo,3,1,H,2,0,H,13,13,8,6,23,13,3,4,3,2,0,0
I1,22/04/06,Messina,Milan,1,3,A,1,2,A,6,11,3,6,23,14,3,5,5,4,3,1
I1,22/04/06,Parma,Siena,1,1,D,0,1,A,8,7,3,1,16,20,4,3,1,1,0,0
I1,22/04/06,Roma,Sampdoria,0,0,D,0,0,D,11,5,4,3,15,20,3,5,2,6,1,0
I1,22/04/06,Udinese,Chievo,1,1,D,0,0,D,12,5,7,1,21,16,4,1,2,1,0,0
I1,30/04/06,Cagliari,Parma,3,1,H,2,0,H,10,8,5,3,6,21,1,5,0,1,0,0
I1,30/04/06,Chievo,Roma,4,4,D,2,3,A,8,15,7,10,25,17,3,9,1,3,0,0
I1,30/04/06,Empoli,Inter,1,0,H,0,0,D,8,12,1,3,16,17,2,7,1,1,0,0
I1,30/04/06,Lazio,Lecce,1,0,H,0,0,D,8,3,2,2,15,22,7,3,0,4,0,1
I1,30/04/06,Milan,Livorno,2,0,H,1,0,H,17,4,9,2,15,24,6,2,0,0,0,0
I1,30/04/06,Palermo,Fiorentina,1,0,H,0,0,D,7,10,4,2,23,20,2,7,2,4,0,0
I1,30/04/06,Reggina,Messina,3,0,H,0,0,D,12,9,8,5,12,23,2,3,3,3,0,1
I1,30/04/06,Sampdoria,Udinese,1,1,D,0,0,D,9,9,6,3,8,9,4,3,0,0,0,0
I1,30/04/06,Siena,Juventus,0,3,A,0,3,A,12,6,5,5,12,14,4,5,1,0,0,0
I1,30/04/06,Treviso,Ascoli,2,2,D,2,1,H,7,14,4,9,18,20,2,8,0,1,0,0
I1,07/05/06,Ascoli,Lazio,1,4,A,1,3,A,9,8,5,6,26,16,2,3,3,1,0,0
I1,07/05/06,Fiorentina,Reggina,5,2,H,3,0,H,16,9,9,5,8,18,4,2,1,2,0,0
I1,07/05/06,Inter,Siena,1,1,D,0,0,D,11,9,7,5,9,11,2,3,1,2,1,0
I1,07/05/06,Juventus,Palermo,2,1,H,1,0,H,10,6,6,4,30,4,5,3,3,1,0,0
I1,07/05/06,Lecce,Chievo,0,0,D,0,0,D,17,11,4,5,20,14,8,7,2,0,1,0
I1,07/05/06,Livorno,Sampdoria,0,0,D,0,0,D,8,3,3,1,16,23,4,4,1,0,0,0
I1,07/05/06,Messina,Empoli,1,2,A,0,1,A,12,4,4,3,10,5,4,4,4,0,1,0
I1,07/05/06,Parma,Milan,2,3,A,0,2,A,9,8,7,6,19,20,5,6,2,2,0,0
I1,07/05/06,Roma,Treviso,1,0,H,1,0,H,15,9,5,3,19,17,8,4,0,3,0,0
I1,07/05/06,Udinese,Cagliari,2,0,H,1,0,H,13,13,8,5,13,17,4,6,0,2,0,0
I1,14/05/06,Cagliari,Inter,2,2,D,2,2,D,8,12,2,3,12,14,2,3,0,3,0,0
I1,14/05/06,Chievo,Fiorentina,0,2,A,0,1,A,8,13,3,6,20,16,6,2,0,0,0,0
I1,14/05/06,Empoli,Ascoli,1,2,A,1,0,H,11,8,6,4,21,17,5,2,1,1,1,0
I1,14/05/06,Lazio,Parma,1,0,H,0,0,D,8,8,4,2,15,20,4,5,0,0,0,0
I1,14/05/06,Milan,Roma,2,1,H,1,1,D,12,8,5,4,16,19,6,5,1,2,0,1
I1,14/05/06,Palermo,Messina,1,0,H,1,0,H,9,9,3,3,15,17,3,4,0,0,0,0
I1,14/05/06,Reggina,Juventus,0,2,A,0,1,A,4,14,1,6,15,16,1,10,3,2,0,0
I1,14/05/06,Sampdoria,Lecce,1,3,A,0,1,A,16,15,6,8,27,13,7,5,2,0,0,0
I1,14/05/06,Siena,Livorno,0,0,D,0,0,D,10,8,5,1,18,17,2,5,0,0,0,0
I1,14/05/06,Treviso,Udinese,2,1,H,1,1,D,15,6,10,2,12,16,8,1,3,1,0,1
