Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HPTS_avg_5,APTS_avg_5,H_gd_5,A_gd_5,H_eff_5,A_eff_5,HST_avg_5,AST_avg_5,target,H_status,A_status,H_H2H,A_H2H
I1,27/11/05,Siena,Reggina,0,0,D,0,0,D,1,7,0,2,18,19,1,3,3,2,1,0,0.6,0.0,-3.0,-7.0,0.27,0.19,5.2,3.2,1,,,,
I1,03/12/05,Chievo,Milan,2,1,H,1,1,D,10,13,5,4,19,19,3,3,2,3,0,0,1.2,1.8,0.0,3.0,0.26,0.32,3.8,5.6,0,,,,
I1,03/12/05,Inter,Ascoli,1,0,H,1,0,H,15,9,8,3,18,15,8,2,1,0,0,0,2.4,0.4,10.0,-4.0,0.3,0.22,8.8,3.6,0,,,,
I1,04/12/05,Fiorentina,Juventus,1,2,A,1,1,D,0,0,0,0,0,0,0,0,0,3,0,0,3.0,2.4,9.0,6.0,0.67,0.41,4.8,5.4,2,,,,
I1,04/12/05,Lazio,Siena,3,2,H,1,0,H,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1.6,5.0,-1.0,0.43,0.32,4.6,5.0,0,,,,
I1,04/12/05,Lecce,Roma,2,2,D,0,2,A,0,0,0,0,0,0,0,0,2,3,0,0,1.2,1.6,-1.0,2.0,0.22,0.21,6.4,4.8,1,,,,
I1,04/12/05,Palermo,Cagliari,2,2,D,2,0,H,0,0,0,0,0,0,0,0,5,3,0,0,1.6,0.0,2.0,-9.0,0.22,0.19,7.4,4.2,1,,,,
I1,04/12/05,Reggina,Parma,2,1,H,2,1,H,0,0,0,0,0,0,0,0,2,3,0,1,2.4,0.0,6.0,-12.0,0.31,0.17,5.8,3.6,0,,,,
I1,04/12/05,Sampdoria,Empoli,2,0,H,0,0,D,0,0,0,0,0,0,0,0,1,1,0,0,1.6,1.0,2.0,-2.0,0.3,0.35,6.6,3.4,0,,,,
I1,04/12/05,Treviso,Messina,0,0,D,0,0,D,0,0,0,0,0,0,0,0,2,3,0,1,0.2,0.8,-6.0,-2.0,0.16,0.22,3.8,4.6,1,,,,
I1,04/12/05,Udinese,Livorno,0,2,A,0,1,A,0,0,0,0,0,0,0,0,2,3,0,0,1.4,0.4,2.0,-9.0,0.13,0.2,6.0,3.0,2,,,,
